date,kind_of_forum,n
2019-07-08T00:00:00Z,SPEECH,3
2019-07-10T00:00:00Z,SPEECH,2
2019-07-11T00:00:00Z,SPEECH,8
2019-07-12T00:00:00Z,EXCHANGE WITH REPORTERS,6
2019-07-12T00:00:00Z,SPEECH,11
2019-07-15T00:00:00Z,EXCHANGE WITH REPORTERS,4
2019-07-15T00:00:00Z,INFORMAL REMARKS,1
2019-07-16T00:00:00Z,INFORMAL REMARKS,14
2019-07-16T00:00:00Z,INTERVIEW,2
2019-07-17T00:00:00Z,INTERVIEW,1
2019-07-17T00:00:00Z,RALLY SPEECH,22
2019-07-17T00:00:00Z,REMARKS,3
2019-07-18T00:00:00Z,REMARKS,5
2019-07-19T00:00:00Z,EVENT,1
2019-07-19T00:00:00Z,EXCHANGE WITH REPORTERS,1
2019-07-19T00:00:00Z,REMARKS,1
2019-07-19T00:00:00Z,TWEET,5
2019-07-22T00:00:00Z,REMARKS,16
2019-07-22T00:00:00Z,TWEET,2
2019-07-23T00:00:00Z,SPEECH,23
2019-07-23T00:00:00Z,TWEET,5
2019-07-24T00:00:00Z,EXCHANGE WITH REPORTERS,3
2019-07-24T00:00:00Z,TWEET,5
2019-07-25T00:00:00Z,INTERVIEW,8
2019-07-26T00:00:00Z,EXCHANGE WITH REPORTERS,14
2019-07-27T00:00:00Z,TWEET,3
2019-07-28T00:00:00Z,TWEET,1
2019-07-29T00:00:00Z,TWEET,3
2019-07-30T00:00:00Z,EXCHANGE WITH REPORTERS,3
2019-07-30T00:00:00Z,INTERVIEW,5
2019-07-30T00:00:00Z,TWEET,2
2019-07-31T00:00:00Z,EXCHANGE WITH REPORTERS,1
2019-07-31T00:00:00Z,TWEET,2
2019-08-01T00:00:00Z,EXCHANGE WITH REPORTERS,5
2019-08-01T00:00:00Z,INTERVIEW,3
2019-08-01T00:00:00Z,RALLY,28
2019-08-02T00:00:00Z,EXCHANGE WITH REPORTERS,4
